SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
001-00015,001-000151,2016-07-04,LANO,2.0,1.0
001-00015,001-000151,2016-07-04,MYLU,1.0,0.9350067
001-00015,001-000151,2016-07-04,MYSE,1.0,0.0937355
001-00015,001-000151,2016-07-04,NYHU,9.0,0.0052713
001-00015,001-000151,2016-07-04,PESU,2.0,0.1964267
001-00015,001-000151,2016-07-05,EPFU,2.0,0.4704405
001-00015,001-000151,2016-07-05,LABO,11.0,0.0
001-00015,001-000151,2016-07-05,LACI,11.0,0.0
001-00015,001-000151,2016-07-05,LANO,2.0,0.9979464
001-00015,001-000151,2016-07-05,MYLU,2.0,0.9279072
001-00015,001-000151,2016-07-05,MYSE,4.0,1.36e-5
001-00015,001-000151,2016-07-05,NYHU,23.0,3e-7
001-00015,001-000151,2016-07-05,PESU,4.0,0.0546808
001-00015,001-000151,2016-07-06,EPFU,2.0,0.4280408
001-00015,001-000151,2016-07-06,LABO,3.0,0.0048583
001-00015,001-000151,2016-07-06,LACI,12.0,0.0
001-00015,001-000151,2016-07-06,LANO,1.0,1.0
001-00015,001-000151,2016-07-06,MYLU,1.0,0.8103461
001-00015,001-000151,2016-07-06,MYSE,1.0,0.0898771
001-00015,001-000151,2016-07-06,NYHU,5.0,0.0729579
001-00015,001-000151,2016-07-06,PESU,3.0,0.011806
001-00015,001-000151,2016-07-07,EPFU,11.0,1e-7
001-00015,001-000151,2016-07-07,LABO,10.0,0.0
001-00015,001-000151,2016-07-07,LACI,10.0,3e-7
001-00015,001-000151,2016-07-07,LANO,2.0,1.0
001-00015,001-000151,2016-07-07,MYLU,1.0,1.0
001-00015,001-000151,2016-07-07,MYSE,2.0,0.0043288
001-00015,001-000151,2016-07-07,NYHU,9.0,0.0732149
001-00015,001-000151,2016-07-07,PESU,4.0,0.0262512
001-00015,001-000151,2016-07-08,EPFU,10.0,3e-6
001-00015,001-000151,2016-07-08,LABO,14.0,0.0
001-00015,001-000151,2016-07-08,LACI,11.0,0.0
001-00015,001-000151,2016-07-08,LANO,3.0,1.0
001-00015,001-000151,2016-07-08,MYLU,6.0,0.0781951
001-00015,001-000151,2016-07-08,MYSE,1.0,0.3627755
001-00015,001-000151,2016-07-08,NYHU,27.0,1e-7
