can_depnum,can_story,can_loc,can_closure
130361,Canopy,Q4,2
030941,Midstory,Mic,1
030941,Midstory,Q1,1
030941,Midstory,Q2,2
030941,Midstory,Q3,3
030941,Midstory,Q4,1
030941,Canopy,Mic,1
030941,Canopy,Q1,2
030941,Canopy,Q2,3
030941,Canopy,Q3,4
030941,Canopy,Q4,1
030942,Midstory,Mic,1
030942,Midstory,Q1,1
030942,Midstory,Q2,1
030942,Midstory,Q3,1
030942,Midstory,Q4,2
030942,Canopy,Mic,1
030942,Canopy,Q1,1
030942,Canopy,Q2,1
030942,Canopy,Q3,1
030942,Canopy,Q4,1
026532,Midstory,Mic,1
026532,Midstory,Q1,1
026532,Midstory,Q2,1
026532,Midstory,Q3,2
026532,Midstory,Q4,1
026532,Canopy,Mic,4
026532,Canopy,Q1,1
026532,Canopy,Q2,2
026532,Canopy,Q3,5
026532,Canopy,Q4,3
026531,Midstory,Mic,2
026531,Midstory,Q1,1
026531,Midstory,Q2,2
026531,Midstory,Q3,3
026531,Midstory,Q4,1
026531,Canopy,Mic,2
026531,Canopy,Q1,2
026531,Canopy,Q2,2
026531,Canopy,Q3,2
026531,Canopy,Q4,1
026751,Midstory,Mic,1
026751,Midstory,Q1,5
026751,Midstory,Q2,1
026751,Midstory,Q3,4
026751,Midstory,Q4,5
026751,Canopy,Mic,1
026751,Canopy,Q1,4
026751,Canopy,Q2,1
026751,Canopy,Q3,1
026751,Canopy,Q4,3
026752,Midstory,Mic,1
026752,Midstory,Q1,2
026752,Midstory,Q2,5
026752,Midstory,Q3,1
026752,Midstory,Q4,5
026752,Canopy,Mic,1
026752,Canopy,Q1,2
026752,Canopy,Q2,5
026752,Canopy,Q3,1
026752,Canopy,Q4,4
027182,Midstory,Mic,2
027182,Midstory,Q1,5
027182,Midstory,Q2,1
027182,Midstory,Q3,1
027182,Midstory,Q4,1
027182,Canopy,Mic,1
027182,Canopy,Q1,5
027182,Canopy,Q2,1
027182,Canopy,Q3,1
027182,Canopy,Q4,1
027181,Midstory,Mic,1
027181,Midstory,Q1,5
027181,Midstory,Q2,1
027181,Midstory,Q3,1
027181,Midstory,Q4,5
027181,Canopy,Mic,1
027181,Canopy,Q1,3
027181,Canopy,Q2,1
027181,Canopy,Q3,1
027181,Canopy,Q4,2
026141,Midstory,Mic,1
026141,Midstory,Q1,2
026141,Midstory,Q2,1
026141,Midstory,Q3,1
026141,Midstory,Q4,3
026141,Canopy,Mic,3
026141,Canopy,Q1,2
026141,Canopy,Q2,1
026141,Canopy,Q3,1
026141,Canopy,Q4,3
026142,Midstory,Mic,1
026142,Midstory,Q1,5
026142,Midstory,Q2,2
026142,Midstory,Q3,1
026142,Midstory,Q4,1
026142,Canopy,Mic,1
026142,Canopy,Q1,2
026142,Canopy,Q2,4
026142,Canopy,Q3,1
026142,Canopy,Q4,1
026782,Midstory,Mic,1
026782,Midstory,Q1,5
026782,Midstory,Q2,1
026782,Midstory,Q3,4
026782,Midstory,Q4,5
026782,Canopy,Mic,1
026782,Canopy,Q1,5
026782,Canopy,Q2,1
